44,30,0,About
99,30,1,Store
1010,28,2,Gmail
1066,28,3,Images
1124,28,4,
1194,28,5,Sign in
305,402,6,
570,402,7,
830,402,8,
908,402,9,AI Mode
545,475,10,
694,475,11,
70,937,12,Advertising
163,937,13,Business
280,937,14,How Search works
623,937,15,Applying AI towards
1038,937,16,Privacy
1111,937,17,Terms
1186,937,18,Settings
